iter	Logloss
187	0.5070095706
188	0.5067898743
189	0.5065556689
190	0.5063362501
191	0.5060915279
192	0.5058718696
193	0.5052194531
194	0.5049710343
195	0.5047716691
196	0.5045221118
197	0.5042966186
198	0.5041233973
199	0.5039069638
200	0.5036978944
201	0.5029389687
202	0.5018116299
203	0.501621925
204	0.5013779847
205	0.5011297045
206	0.5008453314
207	0.5006449443
208	0.500218335
209	0.5000549617
210	0.4997690681
211	0.499587926
212	0.4993456795
213	0.4991660874
214	0.4989312771
215	0.4987498213
216	0.4985969307
217	0.4977857611
218	0.4975680298
219	0.4973088454
220	0.497095411
221	0.4968157686
222	0.4965921493
223	0.4963203816
224	0.4961489605
225	0.4959428687
226	0.4957683808
227	0.4954609911
228	0.495178893
229	0.495008793
230	0.4947944316
231	0.4946540297
232	0.4940583473
233	0.4931096771
234	0.4929308991
235	0.4927768019
236	0.4925785948
237	0.4924277985
238	0.4921351261
239	0.4912784974
240	0.4910753631
241	0.4909178582
242	0.49074753
243	0.4905758298
244	0.4903487263
245	0.4900588777
246	0.4892641551
247	0.4889894478
248	0.4887231053
249	0.487903393
250	0.4876594169
251	0.4873994918
252	0.4871987599
253	0.4868851713
254	0.4866943357
255	0.4864567701
256	0.4862613769
257	0.4860482151
258	0.4859117119
259	0.4853061205
260	0.4850440468
261	0.4845533148
262	0.4843167224
263	0.4837013143
264	0.4835190339
265	0.4833346464
266	0.483176086
267	0.483010339
268	0.4828244794
269	0.4826546546
270	0.4824718108
271	0.4822179509
272	0.4820335805
273	0.4818624902
274	0.4816716806
275	0.4814534399
276	0.4812761008
277	0.4810897118
278	0.4808744838
279	0.4806852225
280	0.4801861815
281	0.4800113887
282	0.4797941189
283	0.479574801
284	0.4793919218
285	0.4789890054
286	0.4787357244
287	0.4785754186
288	0.4784504306
289	0.4782109354
290	0.4780609712
291	0.4778814797
292	0.4776950426
293	0.4774677393
294	0.4773400898
295	0.4772076516
296	0.4769653523
297	0.4762157864
298	0.4760105108
299	0.4757077237
300	0.4749324266
301	0.4747633447
302	0.4746091379
303	0.4744625335
304	0.4742717106
305	0.4741224278
306	0.4731143418
307	0.4729055296
308	0.472761922
309	0.4725931351
310	0.472334988
311	0.4721906316
312	0.4720007031
313	0.4718249253
314	0.4717402301
315	0.4714819976
316	0.4708194127
317	0.4705737899
318	0.4703722287
319	0.4701933785
320	0.4700140355
321	0.4698924503
322	0.4693473208
323	0.4687127762
324	0.4685068651
325	0.4683211586
326	0.4679400631
327	0.4677006665
328	0.4675267374
329	0.4673741641
330	0.4671704448
331	0.466968917
332	0.4668186482
333	0.4665133482
334	0.466047198
335	0.4658780711
336	0.4657205407
337	0.4655520177
338	0.4649147924
339	0.464772365
340	0.4646307772
341	0.4644093634
342	0.4638416317
343	0.4637007692
344	0.4635082265
345	0.4633579656
346	0.4631861795
347	0.4630403289
348	0.4628565652
349	0.462714436
350	0.4622407159
351	0.4619482856
352	0.4617844052
353	0.4616436379
354	0.461430258
355	0.4612455219
356	0.461120721
357	0.4609014449
358	0.4607452152
359	0.4606330323
360	0.4605037284
361	0.4603241473
362	0.4599081486
363	0.459782855
364	0.4593502602
365	0.4591705073
366	0.4589664763
367	0.4587906225
368	0.458609113
369	0.4583868517
370	0.4577926795
371	0.4576667032
372	0.4570447146
373	0.4568686224
374	0.4565991986
375	0.4564828123
376	0.4560011941
377	0.4558010651
378	0.4556419473
379	0.4554131073
380	0.4551982913
381	0.4549602144
382	0.4548229077
383	0.4546914297
384	0.4545884371
385	0.4540975989
386	0.4539610391
387	0.4538242884
388	0.4536913428
389	0.453505101
390	0.4529976181
391	0.4527946778
392	0.4526401059
393	0.4525048843
394	0.4523362969
395	0.4521708719
396	0.4520100033
397	0.4518236277
398	0.4513980536
399	0.4512535607
400	0.4510734681
401	0.4509080151
402	0.4507084546
403	0.4504953501
404	0.4503692263
405	0.4501799666
406	0.4492451344
407	0.449096205
408	0.4489246294
409	0.448801858
410	0.448357094
411	0.4478961674
412	0.4477177429
413	0.4471967728
414	0.4470577881
415	0.4469202857
416	0.446814113
417	0.4466613883
418	0.4465201329
419	0.446338323
420	0.4458686117
421	0.445694941
422	0.4454769087
423	0.4452952205
424	0.4451642095
425	0.4450269452
426	0.4448300154
427	0.4446315783
428	0.4444546262
429	0.444258958
430	0.4440260378
431	0.4438511338
432	0.4437261801
433	0.4435930562
434	0.4434019028
435	0.4432679736
436	0.4431363798
437	0.4429269554
438	0.4427587819
439	0.4426158567
440	0.4424783272
441	0.442267711
442	0.4421118351
443	0.4419426077
444	0.4418141874
445	0.4416545981
446	0.4414327439
447	0.441312312
448	0.4411086589
449	0.4409081104
450	0.4406782715
451	0.4405169177
452	0.440428376
453	0.4399159074
454	0.439410118
455	0.439195199
456	0.4390465079
457	0.4388934028
458	0.4387590977
459	0.4385419359
460	0.438331364
461	0.4381413167
462	0.4379334613
463	0.437745928
464	0.4375781003
465	0.4374159125
466	0.4372514156
467	0.4370878713
468	0.4366051471
469	0.4364724878
470	0.4363289862
471	0.4360899849
472	0.435915972
473	0.435743509
474	0.4355972501
475	0.4350356195
476	0.4348385518
477	0.4346245256
478	0.4344798943
479	0.434307527
480	0.4341308946
481	0.4337308283
482	0.4335960339
483	0.4334756819
484	0.4332718007
485	0.4330736367
486	0.4328829018
487	0.4326640151
488	0.4321584835
489	0.4319437676
490	0.431719724
491	0.4315694959
492	0.4313975406
493	0.4309945681
494	0.4308463594
495	0.4306667819
496	0.4304363664
497	0.4302126636
498	0.4299865911
499	0.4295022854
0531581
22
