iter	Logloss
0	0.6880229346
1	0.6842531868
2	0.6810540025
3	0.6753116126
4	0.6723789282
5	0.6698739395
6	0.6675411945
7	0.6633286496
8	0.6595632731
9	0.6571800966
10	0.653523588
11	0.6499210441
12	0.6456353132
13	0.6431856927
14	0.6408672879
15	0.6391664285
16	0.6373225069
17	0.6357127506
18	0.6320974687
19	0.6304997716
20	0.6289171693
21	0.624402712
22	0.6218525456
23	0.6207514262
24	0.6172040486
25	0.6160092783
26	0.6146580714
27	0.6134645337
28	0.6109799242
29	0.6097835597
30	0.6087717849
31	0.6064958731
32	0.605374474
33	0.6042103526
34	0.603240479
35	0.6008814906
36	0.5998621733
37	0.5988089236338	0.5979060496339	0.5970781518440	0.5956184024141	0.5944666434242	0.5936847664343	0.592970644
44	0.5920557167
45	0.5911571516
46	0.5902485586
47	0.5896089762
48	0.5871273554449	0.5866985709550	0.585994176
51	0.5839411053
52	0.5832551377553	0.5826137112554	0.5810209026555	0.5784176895556	0.5776827026557	0.5770816212558	0.5762744504559	0.5758194753660	0.575326514361	0.5764625638
62	0.5760772805
663	0.572640248764	0.5749754275
65	0.5742755186
66	0.5736508342
67	0.5715230918
68	0.5704129801
69	0.5699019227
70	0.5692679175
71	0.5687490985
72	0.5680910744
73	0.5656524202
74	0.5646089886
75	0.5642696928
76	0.5626214191
77	0.5619172115
78	0.5603076324
79	0.5591739885
80	0.5588405861
81	0.5583934522
82	0.5571713678
83	0.5568328956
84	0.5555340058
85	0.5550043074
86	0.5545924135
87	0.554307229
88	0.5529112287
89	0.5525533517
90	0.5521468285
91	0.5517452102
92	0.5513550234
93	0.550982191
94	0.5499526809
95	0.548810271
96	0.5483146907
97	0.5475328726
98	0.5471551342
99	0.5463155432
100	0.5457696015
101	0.5454001393
102	0.5450530126
103	0.5446711721
104	0.5436189534
105	0.542541788
106	0.5422388905
107	0.5417817873
108	0.541433711
109	0.5410001585
110	0.5407418078
111	0.5404516428
112	0.5398734481
113	0.5395771916
114	0.5392216293
115	0.5388626614
116	0.5386168092
117	0.5383363708
118	0.537349577
119	0.5370649592
120	0.536777734
121	0.5363865543
122	0.5360855588
123	0.5348220202
124	0.5345936885
125	0.5342845619
126	0.5340406172
127	0.5331934365
128	0.5329295803
129	0.5317494996
130	0.5313873726
131	0.5303510782
132	0.5297686318
133	0.5295009739
134	0.5292923254
135	0.528991391
136	0.5286630207
137	0.5283727569
138	0.5271570148
139	0.5268166183
140	0.5255983558
141	0.5253848656
142	0.5247293971
143	0.5245378836
144	0.5242651161
145	0.5241299177
146	0.5235366772
147	0.5231887256
148	0.5222172902
149	0.5219763418
150	0.5211733433
151	0.520925393
152	0.5207676583
153	0.5205670916
154	0.5197915104
155	0.519488358
156	0.5192340264
157	0.5183629545
158	0.5180739862
159	0.5177721143
160	0.5171099227
161	0.5168887572
162	0.5166276151
163	0.5164451962
164	0.5153250466
165	0.5150320719
166	0.5147993544
167	0.514627214
168	0.5143576548
169	0.5138997432
170	0.5136851248
171	0.5134387508
172	0.5131922649
173	0.512976161
174	0.5106649141
175	0.510178937
176	0.5095639907
177	0.5093503456
178	0.5091731101
179	0.5086500111
180	0.5084447783
181	0.5081849891
182	0.508005227
183	0.5078122121
184	0.507653762
185	0.5073923442
186	0.5072013941
